dataset,display_route_type,run,model,display_model,medication,prompt,ground_truth,normalized_ground_truth,response,normalized_response
po_liquid,Oral liquid,3,gpt-4o-mini,GPT-4o-mini,Vancomycin,Vancomycin 125 mg (5 mL) of the 25mg/mL solution four times daily,by mouth,by mouth,Intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,3,gpt-4o-mini,GPT-4o-mini,Famotidine,Famotidine 20 mg (2 mL) of the 20 mg/mL vial solution twice daily,intravenous push,intravenous push,Intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,3,gpt-4o-mini,GPT-4o-mini,Ondansetron,Ondansetron 4 mg (2 mL) of the 2 mg/mL vial solution every 6 hours,intravenous push,intravenous push,Intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,3,gpt-4o-mini,GPT-4o-mini,Levothyroxine,Levothyroxine 100 mcg (5 mL) of the 20 mcg/mL vial solution daily,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,3,gpt-4o-mini,GPT-4o-mini,Fentanyl,Fentanyl 50 mcg (1 mL) of the 50 mcg/mL vial solution every 4 hours,intravenous push,intravenous push,Intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,3,gpt-4o-mini,GPT-4o-mini,Ketorolac,Ketorolac 15 mg (1 mL) of the 15 mg/mL vial solution every 8 hours,intravenous push,intravenous push,Intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,3,gpt-4o-mini,GPT-4o-mini,Dexamethasone,Dexamethasone 6 mg (0.6 mL) of the 10 mg/mL vial solution once daily,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,3,gpt-4o-mini,GPT-4o-mini,Insulin regular,Insulin regular 10 units (0.1 mL) of the 100 units/mL vial solution once,intravenous push,intravenous push,Subcutaneously,subcutaneously
po_solid,Oral solid,1,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Zolpidem,Zolpidem 3.5 mg 1 sublingual tablet once daily at bedtime,by mouth,by mouth,"by mouth is incorrect for this order since it is a sublingual tablet. The correct answer is: 
sublingual  is not an option, however, the correct answer for this type of medication is ""by mouth"" since it refers","by mouth is incorrect for this order since it is a sublingual tablet. the correct answer is: 
sublingual  is not an option, however, the correct answer for this type of medication is ""by mouth"" since it refers"
po_liquid,Oral liquid,1,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Vancomycin,Vancomycin 125 mg (5 mL) of the 25mg/mL solution four times daily,by mouth,by mouth,intravenous intermittent,intravenous intermittent
iv_intermit,Intravenous intermittent,1,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Piperacillin-tazobactam,Piperacillin-tazobactam 4.5 g in 100 mL of 0.9% sodium chloride over 30 minutes every 8 hours,Intravenous intermittent,intravenous intermittent,Intravenous intermittent.,intravenous intermittent.
iv_intermit,Intravenous intermittent,1,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Diphenhydramine,Diphenhydramine 50 mg in 50 mL of 0.9% sodium chloride over 15 minutes daily,Intravenous intermittent,intravenous intermittent,Intravenous intermittent.,intravenous intermittent.
iv_intermit,Intravenous intermittent,1,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Thiamine,Thiamine 400 mg in 50 mL of 0.9% sodium chloride over 30 minutes every 24 hours,Intravenous intermittent,intravenous intermittent,Intravenous intermittent.,intravenous intermittent.
iv_intermit,Intravenous intermittent,1,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Meropenem,Meropenem 2000 mg in 100 mL of 0.9% sodium chloride over 30 minutes every 8 hours,Intravenous intermittent,intravenous intermittent,Intravenous intermittent.,intravenous intermittent.
iv_intermit,Intravenous intermittent,1,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Vancomycin,Vancomycin 1250 mg in 275 mL of 0.9% sodium chloride over 90 minutes every 12 hours,Intravenous intermittent,intravenous intermittent,Intravenous intermittent.,intravenous intermittent.
iv_intermit,Intravenous intermittent,1,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Acetaminophen,Acetaminophen 1000 mg in 100 mL of sterile water over 15 minutes every 6 hours,Intravenous intermittent,intravenous intermittent,Intravenous intermittent.,intravenous intermittent.
iv_intermit,Intravenous intermittent,1,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Micafungin,Micafungin 100 mg in 100 mL of 0.9% sodium chloride over 60 minutes every 24 hours,Intravenous intermittent,intravenous intermittent,Intravenous intermittent.,intravenous intermittent.
iv_intermit,Intravenous intermittent,1,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Methylprednisolone,Methylprednisolone 125 mg in 50 mL of 0.9% sodium chloride over 30 minutes every 24 hours,Intravenous intermittent,intravenous intermittent,Intravenous intermittent.,intravenous intermittent.
iv_push,Intravenous push,1,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Lacosamide,Lacosamide 200 mg (20 mL) of the 10 mg/mL vial solution once,intravenous push,intravenous push,intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,1,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Insulin regular,Insulin regular 10 units (0.1 mL) of the 100 units/mL vial solution once,intravenous push,intravenous push,"intravenous push, by mouth, or subcutaneous injection are typical routes for insulin, but given the options, the most appropriate is not listed so I will choose the closest one which would not be correct in real life but in the context of","intravenous push, by mouth, or subcutaneous injection are typical routes for insulin, but given the options, the most appropriate is not listed so i will choose the closest one which would not be correct in real life but in the context of"
iv_push,Intravenous push,1,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Dexamethasone,Dexamethasone 6 mg (0.6 mL) of the 10 mg/mL vial solution once daily,intravenous push,intravenous push,"by mouth is not the best choice for this specific medication and dose form, intravenous push is not the best choice for this specific medication, intravenous intermittent is not the best choice for this specific medication, intravenous continuous is not the best choice","by mouth is not the best choice for this specific medication and dose form, intravenous push is not the best choice for this specific medication, intravenous intermittent is not the best choice for this specific medication, intravenous continuous is not the best choice"
iv_push,Intravenous push,1,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Ondansetron,Ondansetron 4 mg (2 mL) of the 2 mg/mL vial solution every 6 hours,intravenous push,intravenous push,intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,1,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Fentanyl,Fentanyl 50 mcg (1 mL) of the 50 mcg/mL vial solution every 4 hours,intravenous push,intravenous push,intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,1,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Ketorolac,Ketorolac 15 mg (1 mL) of the 15 mg/mL vial solution every 8 hours,intravenous push,intravenous push,intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,1,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Famotidine,Famotidine 20 mg (2 mL) of the 20 mg/mL vial solution twice daily,intravenous push,intravenous push,intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,1,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Levothyroxine,Levothyroxine 100 mcg (5 mL) of the 20 mcg/mL vial solution daily,intravenous push,intravenous push,by mouth,by mouth
po_solid,Oral solid,2,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Zolpidem,Zolpidem 3.5 mg 1 sublingual tablet once daily at bedtime,by mouth,by mouth,"by mouth is incorrect since it is not specified, sublingual is the route, but it is closest to 
sublingual is not an option so 
by mouth is the closest option to sublingual. 
by mouth  is incorrect","by mouth is incorrect since it is not specified, sublingual is the route, but it is closest to 
sublingual is not an option so 
by mouth is the closest option to sublingual. 
by mouth  is incorrect"
po_liquid,Oral liquid,2,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Vancomycin,Vancomycin 125 mg (5 mL) of the 25mg/mL solution four times daily,by mouth,by mouth,intravenous intermittent,intravenous intermittent
iv_intermit,Intravenous intermittent,2,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Amiodarone,Amiodarone 150 mg in 100 mL of D5W over 10 minutes once,Intravenous intermittent,intravenous intermittent,Intravenous intermittent.,intravenous intermittent.
iv_intermit,Intravenous intermittent,2,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Linezolid,Linezolid 600 mg in 300 mL of D5W over 60 minutes every 12 hours,Intravenous intermittent,intravenous intermittent,Intravenous intermittent.,intravenous intermittent.
iv_intermit,Intravenous intermittent,2,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Bumetanide,Bumetanide 4 mg in 50 mL of 0.9% sodium chloride over 60 minutes twice daily,Intravenous intermittent,intravenous intermittent,Intravenous intermittent.,intravenous intermittent.
iv_intermit,Intravenous intermittent,2,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Levetiracetam,Levetiracetam 1000 mg in 100 mL 0.9% sodium chloride over 15 minutes every 12 hours,Intravenous intermittent,intravenous intermittent,Intravenous intermittent.,intravenous intermittent.
iv_intermit,Intravenous intermittent,2,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Piperacillin-tazobactam,Piperacillin-tazobactam 4.5 g in 100 mL of 0.9% sodium chloride over 30 minutes every 8 hours,Intravenous intermittent,intravenous intermittent,Intravenous intermittent.,intravenous intermittent.
iv_intermit,Intravenous intermittent,2,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Ceftazidime,Ceftazidime 1000 mg in 100 mL of 0.9% sodium chloride over 3 hours every 8 hours,Intravenous intermittent,intravenous intermittent,Intravenous intermittent.,intravenous intermittent.
iv_intermit,Intravenous intermittent,2,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Diphenhydramine,Diphenhydramine 50 mg in 50 mL of 0.9% sodium chloride over 15 minutes daily,Intravenous intermittent,intravenous intermittent,Intravenous intermittent.,intravenous intermittent.
iv_intermit,Intravenous intermittent,2,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Thiamine,Thiamine 400 mg in 50 mL of 0.9% sodium chloride over 30 minutes every 24 hours,Intravenous intermittent,intravenous intermittent,Intravenous intermittent.,intravenous intermittent.
iv_intermit,Intravenous intermittent,2,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Meropenem,Meropenem 2000 mg in 100 mL of 0.9% sodium chloride over 30 minutes every 8 hours,Intravenous intermittent,intravenous intermittent,Intravenous intermittent.,intravenous intermittent.
iv_intermit,Intravenous intermittent,2,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Micafungin,Micafungin 100 mg in 100 mL of 0.9% sodium chloride over 60 minutes every 24 hours,Intravenous intermittent,intravenous intermittent,Intravenous intermittent.,intravenous intermittent.
iv_intermit,Intravenous intermittent,2,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Methylprednisolone,Methylprednisolone 125 mg in 50 mL of 0.9% sodium chloride over 30 minutes every 24 hours,Intravenous intermittent,intravenous intermittent,Intravenous intermittent.,intravenous intermittent.
iv_push,Intravenous push,2,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Lacosamide,Lacosamide 200 mg (20 mL) of the 10 mg/mL vial solution once,intravenous push,intravenous push,intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,2,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Atropine,Atropine 1 mg (1mL) of the 1 mg/ml vial solution once,intravenous push,intravenous push,Intravenous push.,intravenous push.
iv_push,Intravenous push,2,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Insulin regular,Insulin regular 10 units (0.1 mL) of the 100 units/mL vial solution once,intravenous push,intravenous push,"intravenous push (or subcutaneous, but since IV is an option I'll choose) intravenous push (no, subcutaneous is not an option here) 
by mouth is not possible for insulin, it's a peptide 
 intr","intravenous push (or subcutaneous, but since iv is an option i'll choose) intravenous push (no, subcutaneous is not an option here) 
by mouth is not possible for insulin, it's a peptide 
 intr"
iv_push,Intravenous push,2,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Dexamethasone,Dexamethasone 6 mg (0.6 mL) of the 10 mg/mL vial solution once daily,intravenous push,intravenous push,"by mouth is not appropriate in this case as the order does not specify an oral formulation, intravenous push and intravenous intermittent are both possible but since the order is for once daily dosing, the most appropriate would be intravenous intermittent if it","by mouth is not appropriate in this case as the order does not specify an oral formulation, intravenous push and intravenous intermittent are both possible but since the order is for once daily dosing, the most appropriate would be intravenous intermittent if it"
iv_push,Intravenous push,2,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Ondansetron,Ondansetron 4 mg (2 mL) of the 2 mg/mL vial solution every 6 hours,intravenous push,intravenous push,intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,2,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Fentanyl,Fentanyl 50 mcg (1 mL) of the 50 mcg/mL vial solution every 4 hours,intravenous push,intravenous push,intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,2,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Ketorolac,Ketorolac 15 mg (1 mL) of the 15 mg/mL vial solution every 8 hours,intravenous push,intravenous push,intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,2,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Famotidine,Famotidine 20 mg (2 mL) of the 20 mg/mL vial solution twice daily,intravenous push,intravenous push,intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,2,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Levothyroxine,Levothyroxine 100 mcg (5 mL) of the 20 mcg/mL vial solution daily,intravenous push,intravenous push,by mouth,by mouth
po_solid,Oral solid,3,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Zolpidem,Zolpidem 3.5 mg 1 sublingual tablet once daily at bedtime,by mouth,by mouth,"by mouth is incorrect since the order specifies sublingual, which is under the tongue, however, the most appropriate choice given is 
by mouth is the closest to sublingual, but since that is not an option and sublingual is","by mouth is incorrect since the order specifies sublingual, which is under the tongue, however, the most appropriate choice given is 
by mouth is the closest to sublingual, but since that is not an option and sublingual is"
po_liquid,Oral liquid,3,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Vancomycin,Vancomycin 125 mg (5 mL) of the 25mg/mL solution four times daily,by mouth,by mouth,intravenous intermittent,intravenous intermittent
iv_intermit,Intravenous intermittent,3,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Amiodarone,Amiodarone 150 mg in 100 mL of D5W over 10 minutes once,Intravenous intermittent,intravenous intermittent,"Intravenous push is not typically used for this medication due to its potential to cause hypotension, so intravenous intermittent is a better choice for this specific dose and time frame. 

Intravenous intermittent  is the best choice for Am","intravenous push is not typically used for this medication due to its potential to cause hypotension, so intravenous intermittent is a better choice for this specific dose and time frame. 

intravenous intermittent  is the best choice for am"
iv_intermit,Intravenous intermittent,3,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Piperacillin-tazobactam,Piperacillin-tazobactam 4.5 g in 100 mL of 0.9% sodium chloride over 30 minutes every 8 hours,Intravenous intermittent,intravenous intermittent,Intravenous intermittent.,intravenous intermittent.
iv_intermit,Intravenous intermittent,3,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Vancomycin,Vancomycin 1250 mg in 275 mL of 0.9% sodium chloride over 90 minutes every 12 hours,Intravenous intermittent,intravenous intermittent,Intravenous intermittent.,intravenous intermittent.
iv_intermit,Intravenous intermittent,3,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Iron Sucrose,Iron Sucrose 200 mg in 100 mL of 0.9% sodium chloride over 15 minutes daily for 5 days,Intravenous intermittent,intravenous intermittent,Intravenous intermittent.,intravenous intermittent.
iv_intermit,Intravenous intermittent,3,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Methylprednisolone,Methylprednisolone 125 mg in 50 mL of 0.9% sodium chloride over 30 minutes every 24 hours,Intravenous intermittent,intravenous intermittent,Intravenous intermittent.,intravenous intermittent.
iv_intermit,Intravenous intermittent,3,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Sodium Phosphate,Sodium Phosphate 15 mmol in 100 mL of D5W over 2 hours as needed for phosphorous replacement,Intravenous intermittent,intravenous intermittent,Intravenous intermittent.,intravenous intermittent.
iv_push,Intravenous push,3,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Lacosamide,Lacosamide 200 mg (20 mL) of the 10 mg/mL vial solution once,intravenous push,intravenous push,intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,3,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Atropine,Atropine 1 mg (1mL) of the 1 mg/ml vial solution once,intravenous push,intravenous push,Intravenous push.,intravenous push.
iv_push,Intravenous push,3,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Insulin regular,Insulin regular 10 units (0.1 mL) of the 100 units/mL vial solution once,intravenous push,intravenous push,"intravenous push is not typically used for insulin, by mouth is not appropriate for insulin, and intravenous continuous is also not typically used for insulin. The most appropriate route for insulin is typically subcutaneous, but that option is not available.","intravenous push is not typically used for insulin, by mouth is not appropriate for insulin, and intravenous continuous is also not typically used for insulin. the most appropriate route for insulin is typically subcutaneous, but that option is not available."
iv_push,Intravenous push,3,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Dexamethasone,Dexamethasone 6 mg (0.6 mL) of the 10 mg/mL vial solution once daily,intravenous push,intravenous push,"by mouth is not appropriate since the order doesn't specify an oral formulation, and the dose is given in mL, so: intravenous intermittent is not the best choice since ""once daily"" suggests a simple, one-time administration rather than needing to","by mouth is not appropriate since the order doesn't specify an oral formulation, and the dose is given in ml, so: intravenous intermittent is not the best choice since ""once daily"" suggests a simple, one-time administration rather than needing to"
iv_push,Intravenous push,3,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Ondansetron,Ondansetron 4 mg (2 mL) of the 2 mg/mL vial solution every 6 hours,intravenous push,intravenous push,intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,3,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Fentanyl,Fentanyl 50 mcg (1 mL) of the 50 mcg/mL vial solution every 4 hours,intravenous push,intravenous push,intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,3,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Ketorolac,Ketorolac 15 mg (1 mL) of the 15 mg/mL vial solution every 8 hours,intravenous push,intravenous push,intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,3,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Famotidine,Famotidine 20 mg (2 mL) of the 20 mg/mL vial solution twice daily,intravenous push,intravenous push,intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,3,meta-llama/Llama-3.3-70B-Instruct,LLaMA-3.3-70B-Instruct,Levothyroxine,Levothyroxine 100 mcg (5 mL) of the 20 mcg/mL vial solution daily,intravenous push,intravenous push,by mouth,by mouth
po_solid,Oral solid,1,google/gemma-3-27b-it,Gemma-3-27B-IT,Zolpidem,Zolpidem 3.5 mg 1 sublingual tablet once daily at bedtime,by mouth,by mouth,Sublingual,sublingual
po_liquid,Oral liquid,1,google/gemma-3-27b-it,Gemma-3-27B-IT,Vancomycin,Vancomycin 125 mg (5 mL) of the 25mg/mL solution four times daily,by mouth,by mouth,Intravenous continuous,intravenous continuous
iv_intermit,Intravenous intermittent,1,google/gemma-3-27b-it,Gemma-3-27B-IT,Amiodarone,Amiodarone 150 mg in 100 mL of D5W over 10 minutes once,Intravenous intermittent,intravenous intermittent,Intravenous push,intravenous push
iv_intermit,Intravenous intermittent,1,google/gemma-3-27b-it,Gemma-3-27B-IT,Ceftazidime,Ceftazidime 1000 mg in 100 mL of 0.9% sodium chloride over 3 hours every 8 hours,Intravenous intermittent,intravenous intermittent,Intravenous continuous,intravenous continuous
iv_intermit,Intravenous intermittent,1,google/gemma-3-27b-it,Gemma-3-27B-IT,Sodium Phosphate,Sodium Phosphate 15 mmol in 100 mL of D5W over 2 hours as needed for phosphorous replacement,Intravenous intermittent,intravenous intermittent,Intravenous continuous,intravenous continuous
iv_push,Intravenous push,1,google/gemma-3-27b-it,Gemma-3-27B-IT,Lacosamide,Lacosamide 200 mg (20 mL) of the 10 mg/mL vial solution once,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,1,google/gemma-3-27b-it,Gemma-3-27B-IT,Atropine,Atropine 1 mg (1mL) of the 1 mg/ml vial solution once,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,1,google/gemma-3-27b-it,Gemma-3-27B-IT,Haloperidol,Haloperidol 2 mg (0.4 mL) of the 5 mg/mL vial solution once,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,1,google/gemma-3-27b-it,Gemma-3-27B-IT,Insulin regular,Insulin regular 10 units (0.1 mL) of the 100 units/mL vial solution once,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,1,google/gemma-3-27b-it,Gemma-3-27B-IT,Furosemide,Furosemide 20 mg (2 mL) of the 10 mg/mL vial solution once,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,1,google/gemma-3-27b-it,Gemma-3-27B-IT,Hydralazine,Hydralazine 10 mg (0.5 mL) of the 20 mg/mL vial solution once,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,1,google/gemma-3-27b-it,Gemma-3-27B-IT,Dexamethasone,Dexamethasone 6 mg (0.6 mL) of the 10 mg/mL vial solution once daily,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,1,google/gemma-3-27b-it,Gemma-3-27B-IT,Naloxone,Naloxone 0.04 mg (0.1 mL) of the 0.4 mg/mL vial solution once,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,1,google/gemma-3-27b-it,Gemma-3-27B-IT,Famotidine,Famotidine 20 mg (2 mL) of the 20 mg/mL vial solution twice daily,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,1,google/gemma-3-27b-it,Gemma-3-27B-IT,Levothyroxine,Levothyroxine 100 mcg (5 mL) of the 20 mcg/mL vial solution daily,intravenous push,intravenous push,By mouth,by mouth
po_solid,Oral solid,2,google/gemma-3-27b-it,Gemma-3-27B-IT,Zolpidem,Zolpidem 3.5 mg 1 sublingual tablet once daily at bedtime,by mouth,by mouth,sublingual,sublingual
po_liquid,Oral liquid,2,google/gemma-3-27b-it,Gemma-3-27B-IT,Vancomycin,Vancomycin 125 mg (5 mL) of the 25mg/mL solution four times daily,by mouth,by mouth,Intravenous continuous,intravenous continuous
iv_intermit,Intravenous intermittent,2,google/gemma-3-27b-it,Gemma-3-27B-IT,Ceftazidime,Ceftazidime 1000 mg in 100 mL of 0.9% sodium chloride over 3 hours every 8 hours,Intravenous intermittent,intravenous intermittent,Intravenous continuous,intravenous continuous
iv_intermit,Intravenous intermittent,2,google/gemma-3-27b-it,Gemma-3-27B-IT,Sodium Phosphate,Sodium Phosphate 15 mmol in 100 mL of D5W over 2 hours as needed for phosphorous replacement,Intravenous intermittent,intravenous intermittent,Intravenous continuous,intravenous continuous
