order,communication_type,route,medication_category,response_p1,response_p2,llm_appropriate,llm_medmatch_appropriate
Atorvastatin 80 mg by mouth daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Aspirin 81mg given 1 tablet by mouth daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Oxycodone 10 twice daily,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Atorvastatin 80mg take 1 tablet by mouth daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Atorvastatin 80mg tablet- take 1 tablet by mouth daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Aspirin 81 mg tablet, 1 tablet by mouth once daily at 0900",formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Carvedilol 25mg take 1 tablet by mouth twice daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Atorvastatin 80 mg tablet, 1 tablet by mouth once daily at 0900",formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Carvedilol 25mg tablet- take 1 tablet by mouth twice daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Carvedilol 25 mg tablet, 1 tablet by mouth twice daily at 0900 and 2100",formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Carvedilol 25 mg by mouth twice daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Hydralazine 25mg tablet- take 1 tablet by mouth three times daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Hydralazine 25mg take 1 tablet by mouth three times daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Acetaminophen 325 mg by mouth every 4 hours as needed for headache,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Acetaminophen 325mg take 1 tablet by mouth every 4 hours as needed for headache,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Hydralazine 25 mg by mouth three times daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Hydralazine 25 mg tablet, 1 tablet by mouth three times daily",formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Acetaminophen 325 mg tablet- take 1 tablet by mouth every 4 hours as needed for a headache,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Acetaminophen 325 mg tablet, 1 tablet by mouth every 4 hours as needed for headache",formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Warfarin 5mg take 1 tablet by mouth on Mondays, Wednesdays, and Fridays",formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Warfarin 5 mg by mouth every Monday, Wednesday, and Friday",formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Warfarin 5mg tablet- take 1 (5mg) tablet by mouth 3 times a week on Monday, Wednesday, and Friday",formal_written,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
"Warfarin 5 mg tablet, 1 tablet by mouth once daily on Mondays, Wednesday, and Fridays at 1800",formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Ibuprofen 200mg take 4 tablets (800mg total) by mouth every 8 hours as needed for pain,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Lisinopril 5mg tablet- take 1 tablet by mouth in the morning,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Ibuprofen 200 mg tablets, 4 tablets by mouth every 8 hours as needed for mild pain (score 1-3)",formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Lisinopril 5 mg by mouth every morning,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Lisinopril 5 mg tablet, 1 tablet by mouth every morning at 0900",formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Lisinopril 5mg take 1 tablet by mouth every morning,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Ibuprofen 800 mg, take four (4) 200 mg tablets every 8 hours as needed for pain",formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Magnesium 400mg take 1 tablet by mouth four times daily,formal_written,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Magnesium 400 mg by mouth four times daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Magnesium sulfate 400 mg tablet, 1 tablet by mouth four times daily",formal_written,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Magnesium oxide 400 mg tablet- take 1 tablet by mouth 4 times daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Rimegepant 75 mg by mouth every other day,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Rimegepant 75 mg tablet, 1 tablet by mouth every other day at 0900",formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Rimegepant 75mg- take 1 tablet by mouth every other day,formal_written,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Rimegepant 75mg oral disintegrating tablet- give 1 tablet by mouth every other day,formal_written,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Oxycodone 5 mg by mouth every 4 hours as needed for severe pain,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Oxycodone 5mg take 1 tablet by mouth every 4 hours as needed for severe pain,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Ibuprofen 200mg tablet- take 4 tablets by mouth every 8 hours as needed for pain,formal_written,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Oxycodone 5 mg tablet- give 1 tablet by mouth every 4 hours as needed for severe pain,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Oxycodone 5 mg tablet, 1 tablet by mouth every 4 hours as needed for severe pain (score 7-10)",formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Amlodipine 10mg take 1 tablet by mouth daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Amlodipine 10mg tablet- take 1 tablet by mouth daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cyclobenzaprine 15 mg by mouth every evening,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cyclobenzaprine 15 mg tablet- give 1 tablet by mouth at bedtime,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cyclobenzaprine 15mg take 1 tablet by mouth at bedtime,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Amlodipine 10 mg by mouth every day,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Amlodipine 10 mg tablet, 1 tablet by mouth once daily at 0900",formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Amoxicillin 500mg take 1 capsule by mouth twice daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Cyclobenzaprine 15 mg tablet, 1 tablet by mouth every night at 2100",formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Amoxicillin 500 mg by mouth twice daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Sulfamethoxazole-trimethoprim 800-160 mg tablet- take 1 tablet by mouth every 12 hours,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Sulfamethoxazole-trimethoprim (800/160mg) take 1 double strength tablet by mouth every 12 hours,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""YES""}",True,True
"Amoxicillin 500 mg tablet, 1 tablet by mouth twice daily at 0900 and 2100",formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Amoxicillin 500mg tablet- take 1 tablet by mouth twice daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Sulfamethoxazole-trimethoprim (800-160) mg by mouth every 12 hours,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Prenatal vitamin take 1 tablet by mouth daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Prenatal vitamin by mouth daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Prenatal vitamin tablet- give 1 tablet by mouth daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Sulfamethoxazole-trimethoprim 800-160 mg tablet, 1 tablet by mouth twice daily at 0900",formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Prenatal vitamin, 1 tablet by mouth once daily at 0900",formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Metoprolol tartrate 25 mg tablet- take 1 tablet by mouth every 6 hours,formal_written,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Metoprolol 25 mg by mouth every 6 hours,formal_written,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Sertraline 25mg tablet- take 1 tablet by mouth daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Sertraline 25 mg tablet, 1 tablet by mouth once daily at 0900",formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Sertraline 25 mg by mouth daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Clopidogrel 75mg take 1 tablet by mouth daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Sertraline 25mg take 1 tablet by mouth daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Clopidogrel 75 mg by mouth daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Clopidogrel 75 mg tablet- take 1 tablet by mouth daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Oxycodone 10mg tablet- take 1 tablet by mouth every 12 hours,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Oxycodone 10 mg by mouth every 12 hours,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Metoprolol tartrate 25mg take 1 tablet by mouth every 6 hours,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Oxycodone 10 mg tablet, 1 tablet by mouth every 12 hours at 0900 and 2100",formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Aspirin 81 mg daily,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
ASA 81mg,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Oxycodone 10mg take 1 tablet by mouth every 12 hours,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Aspirin 81 mg PO daily,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Atorvastatin 80mg,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Aspirin 81mg QD,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Metoprolol tartrate 25 mg tablet, 1 tablet by mouth every 6 hours",formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Atorvastatin 80mg daily,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Atorvastatin 80mg QD,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Clopidogrel 75 mg tablet, 1 tablet by mouth once daily at 0900",formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Carvedilol 25mg BID,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Carvedilol 25 mg BID,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Carvedilol 25 mg PO BID,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Atorvastatin 80 mg PO daily,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Hydralazine 25mg TID,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Hydralazine 25 mg PO TID,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Hydralazine 25mg TID,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Acetaminophen 325 q4h PRN headache,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
APAP 325mg q4h PRN,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Carvedilol 25mg BID,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Tylenol 325mg Q4 PRN HA,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Acetaminophen 325 mg PO q4h PRN headache,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Hydralazine 25mg TID,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Warfarin 5 mg MWF,brief_written,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Warfarin 5 mg MWF,brief_written,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Ibuprofen 800mg Q8h PRN pain,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Warfarin 5mg MWF,brief_written,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Ibuprofen 800 mg PO q8h PRN mild pain,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Lisinopril 5 mg daily,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Ibuprofen 800 q8h PRN pain,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Lisinopril 5mg,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Lisinopril 5 mg PO qAM,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Magnesium 400mg QID,brief_written,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Rimegepant 75mg every other day,brief_written,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Magnesium 400 mg PO QID,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Magnesium 400mg QID,brief_written,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Rimegepant 75mg QOD,brief_written,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Rimegepant 75 mg QOD,brief_written,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Oral Mag 400mg QID,brief_written,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Rimegepant 75 mg PO every other day,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Oxycodone 5mg q4h PRN,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Oxycodone 5mg Q4h PRN severe pain,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Oxycodone 5 mg PO q4h PRN severe pain,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Amlodipine 10 mg PO daily,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Amlodipine 10mg,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Warfarin 5 mg PO on MWF,brief_written,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Ibuprofen 800mg q8h prn,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cyclobenzaprine 15mg QHS,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Lisinopril 5mg QAM,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cyclobenzaprine 15mg QHS,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cyclobenzaprine 15 mg PO nightly,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cyclobenzaprine 15 mg QHS,brief_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
