Medication,Medication JSON (ground truth),Medication prompt (sentence format),Drug name,Numerical dose,unit,amount,formulation,route,frequency
Montelukast,Montelukast 10 mg 1 tablet by mouth once daily in the evening,"Daily in the evening, administer 10mg (1 tablet) montelukast by mouth",Montelukast,10,mg,1,tablet,by mouth,once daily in the evening
Omeprazole,Omeprazole 20 mg 1 delayed-release tablet by mouth once daily,Administer 20mg omezprazole (1 delayed-release tablet) once daily by mouth,Omeprazole,20,mg,1,delayed-release tablet,by mouth,once daily
Ondansetron,Ondansetron 8 mg 1 orally-disintegrating tablet by mouth every 8 hours as needed for vomiting,The patient is receiving ondansetron as needed for vomiting every 8 hours using 8 mg orally-disintegrating tablets (1 tablet per dose),Ondansetron,8,mg,1,orally-disintegrating tablet,by mouth,every 8 hours as needed for vomiting
Pioglitazone,Pioglitazone 30 mg 1 tablet by mouth once daily,Give by mouth once daily a dose of 30 mg pioglitazone (1 tablet),Pioglitazone,30,mg,1,tablet,by mouth,once daily
Paroxetine,Paroxetine 20 mg 1 tablet by mouth once daily,"Once daily, administer 1 tablet of paroxetine 20mg by mouth",Paroxetine,20,mg,1,tablet,by mouth,once daily
Quetiapine,Quetiapine 200 mg 1 extended release tablet by mouth once daily,Use an extended release tablet of quetiapine 200 mg to give to the patient by mouth once daily,Quetiapine,200,mg,1,extended-release tablet,by mouth,once daily
Quinapril,Quinapril 10 mg 1 tablet by mouth once daily,Quinapril 1 tablet - 10mg once daily by mouth,Quinapril,10,mg,1,tablet,by mouth,once daily
Ropinirole,Ropinirole 2 mg 1 tablet by mouth three times daily,"Among the patient's medications includes the following medication: ropinirole 2 mg (1 tablet), given to the patient by mouth three times daily",Ropinirole,2,mg,1,tablet,by mouth,three times daily
Simvastatin,Simvastatin 20 mg 1 tablet by mouth once daily in the evening,"Administer 1 tablet of simvastatin by mouth once daily in the evening, using a dose of 20mg.",Simvastatin,20,mg,1,tablet,by mouth,once daily in the evening
Temazepam,Temazepam 15 mg 1 capsule by mouth once daily at bedtime as needed for insomnia,Temazepam capsule- give 1 capsule (15 mg) once daily at bedtime as needed for insomnia by mouth,Temazepam,15,mg,1,capsule,by mouth,once daily at bedtime as needed for insomnia
Tizanidine,Tizanidine 2 mg 1 capsule by mouth every 8 hours as needed for muscle spasms,"Provide the patient with 1 capsule of tizanidine by mouth every 8 hours as needed for muscle spasms, with a dose equal to 2mg",Tizanidine,2,mg,1,capsule,by mouth,every 8 hours as needed for muscle spasms
Tolterodine,Tolterodine 2 mg 1 extended-release capsule by mouth once daily,Administer an extended-release capsule of tolterodine 2 mg to the patient by mouth once daily,Tolterodine,2,mg,1,extended-release capsule,by mouth,once daily
Tramadol,Tramadol 50 mg 1 tablet by mouth every 6 hours as needed for pain,The patient should receive 1 tablet by mouth every 6 hours as needed for pain of tramadol 50 mg,Tramadol,50,mg,1,tablet,by mouth,every 6 hours as needed for pain
Valacyclovir,Valacyclovir 1 g 1 tablet by mouth twice daily,Give 1 g of valacyclovir (1 tablet) twice daily by mouth,Valacyclovir,1,g,1,tablet,by mouth,twice daily
Vardenafil,Vardenafil 5 mg 1 tablet by mouth once daily,Administer once daily a dose of 5 mg (1 tablet) of vardenafil by mouth,Vardenafil,5,mg,1,tablet,by mouth,once daily
Warfarin,"Warfarin 2.5 mg 1 tablet by mouth once daily on Mondays, Wednesdays, and Fridays","On Mondays, Wednesdays, and Fridays, the patient should receive 2.5 mg (1 tablet) of warfarin by mouth once daily",Warfarin,2.5,mg,1,tablet,by mouth,"once daily on Mondays, Wednesdays, and Fridays"
Ziprasidone,Ziprasidone 20 mg 1 capsule by mouth twice daily with meals,"Twice daily with meals, administer ziprasidone 20 mg (1 capsule) by mouth",Ziprasidone,20,mg,1,capsule,by mouth,twice daily with meals
Zolpidem,Zolpidem 3.5 mg 1 sublingual tablet by mouth once daily at bedtime,"Using a sublingual tablet, administer 3.5 mg of zolpidem by mouth once daily at bedtime",Zolpidem,3.5,mg,1,sublingual tablet,by mouth,once daily at bedtime
