Drug,type of order
"NS, 100 mL/hr",brief written-orange
NS 100ml/hour infusion,brief written-orange
NS at 100 mL/h,brief written-orange
Epinephrine 0.1mcg/kg/min,brief written-orange
Epinephrine 0.1 mcg/kg/min,brief written-orange
Epi infusion at 0.1 mcg/kg/min,brief written-orange
Epinephrine infusion at 0.1 mcg/kg/min,brief written-orange
Propofol infusion at 5 mcg/kg/min,brief written-orange
Precedex 0.2mcg/kg/min,brief written-orange
Dexmedetomidine 0.2 mcg/kg/min,brief written-orange
Precedex infusions at 0.2 mcg/kg/min,brief written-orange
Dexmedetomidine at 0.2 mcg/kg/min,brief written-orange
Dopamine 5mcg/min,brief written-orange
Dopamine 5 mcg/min,brief written-orange
Dopamine drip at 5 mcg/min,brief written-orange
Dopamine infusion at 5 mcg/min,brief written-orange
Milrinone 0.125mcg/kg/min,brief written-orange
Milrinone drip at 0.125 mcg/kg/min,brief written-orange
Milrinone 0.125 mcg/kg/min,brief written-orange
Milrinone infusion at 0.125 mcg/kg/min,brief written-orange
Hydromorphone 0.5mg/hr,brief written-orange
Hydromorphone 0.5 mg/hr,brief written-orange
Dilaudid infusion at 0.5 mg/hr,brief written-orange
Hydromorphone IV infusion at 0.5 mg/h,brief written-orange
D5W 200ml/hr,brief written-orange
D5W 200 mL/hr,brief written-orange
D5 drip at 200ml/hr,brief written-orange
D5W at 200 mL/h,brief written-orange
